stock,sentiment,timestamp
CIB,0.0516,2026-04-30T01:55:15.188150
CIB,0.4939,2026-04-30T01:55:15.192876
CIB,0.9274,2026-04-30T01:55:15.197754
FAISAL,0.5719,2026-04-30T01:55:15.776114
FAISAL,0.0516,2026-04-30T01:55:15.783113
FAISAL,0.4939,2026-04-30T01:55:15.787870
FAISAL,0.9274,2026-04-30T01:55:15.792774
FAISAL,-0.9231,2026-04-30T01:55:15.797497
FAISAL,0.6705,2026-04-30T01:55:15.802132
FAISAL,0.6486,2026-04-30T01:55:15.806794
FAISAL,0.6361,2026-04-30T01:55:15.811437
HDB,0.5719,2026-04-30T01:55:16.387309
HDB,0.0516,2026-04-30T01:55:16.397215
HDB,0.4939,2026-04-30T01:55:16.402531
HDB,0.9274,2026-04-30T01:55:16.407369
HDB,-0.9231,2026-04-30T01:55:16.412025
HDB,0.6705,2026-04-30T01:55:16.416671
HDB,0.6486,2026-04-30T01:55:16.421356
HDB,0.6361,2026-04-30T01:55:16.425967
ADIB,0.5719,2026-04-30T01:55:17.017994
ADIB,0.0516,2026-04-30T01:55:17.029867
ADIB,0.4939,2026-04-30T01:55:17.040332
ADIB,0.9274,2026-04-30T01:55:17.047471
ADIB,-0.9231,2026-04-30T01:55:17.052107
ADIB,0.6705,2026-04-30T01:55:17.056679
ADIB,0.6486,2026-04-30T01:55:17.061286
ADIB,0.6361,2026-04-30T01:55:17.066077
CIB,-0.296,2026-04-30T01:55:47.686695
CIB,0.0,2026-04-30T01:55:47.691809
CIB,0.0,2026-04-30T01:55:47.696394
CIB,-0.101,2026-04-30T01:55:47.700992
CIB,-0.872,2026-04-30T01:55:47.705579
CIB,-0.5664,2026-04-30T01:55:47.710169
CIB,0.5719,2026-04-30T01:55:47.714823
CIB,0.0516,2026-04-30T01:55:47.719484
CIB,0.4939,2026-04-30T01:55:47.724206
CIB,0.9274,2026-04-30T01:55:47.729025
FAISAL,0.5719,2026-04-30T01:55:48.326824
FAISAL,0.0516,2026-04-30T01:55:48.332214
FAISAL,0.4939,2026-04-30T01:55:48.336986
FAISAL,0.9274,2026-04-30T01:55:48.342292
FAISAL,-0.9231,2026-04-30T01:55:48.347379
